mode,run_id,best_epoch,replicate,accuracy,kappa,f1-score,test_dataset,accuracy_TMA20,kappa_TMA20,f1-score_TMA20
central,297,453,1,0.548931383577053,0.699276299131479,0.451472885797516,spl_1,0.435897435897436,0.599442692926091,0.370360361228483
central,298,208,1,0.505061867266592,0.743108755621901,0.452177652019804,spl_2,0.466666666666667,0.644787804115993,0.43428109947795
central,299,312,1,0.513363028953229,0.689762764241354,0.431824198834165,spl_3,0.476923076923077,0.673404562518048,0.436158761965214
central,306,275,2,0.554555680539933,0.70334130913294,0.445511495178331,spl_1,0.456410256410256,0.619608075657407,0.395711314828962
central,307,103,2,0.505061867266592,0.746436714439495,0.444928643400273,spl_2,0.441025641025641,0.666022572570375,0.403100600189507
central,308,262,2,0.531180400890869,0.682193326126206,0.445651247614552,spl_3,0.528205128205128,0.66556579176082,0.472499046073624
central,309,487,3,0.552305961754781,0.686422384033219,0.436497167803787,spl_1,0.415384615384615,0.6667793805967,0.374346206472508
central,310,285,3,0.52755905511811,0.751373423956427,0.456821644365391,spl_2,0.497435897435897,0.701131301548097,0.466003687574448
central,311,495,3,0.521158129175946,0.674965972452138,0.428043237517948,spl_3,0.492307692307692,0.683008587636494,0.443772223734773
federated,300,355,1,0.532058492688414,0.704324317465236,0.471965252313481,spl_1,0.482051282051282,0.741609295587187,0.474315497277206
federated,301,498,1,0.543307086614173,0.737015517930538,0.478706738124758,spl_2,0.466666666666667,0.672591015193087,0.428026187050922
federated,302,490,1,0.462138084632517,0.672018477061092,0.407621223604067,spl_3,0.456410256410256,0.687154300144216,0.437790241241201
federated,312,428,2,0.517435320584927,0.699710662880297,0.438804006529654,spl_1,0.435897435897436,0.672013260853668,0.393361135514653
federated,313,326,2,0.525309336332958,0.751441119263407,0.484202163445648,spl_2,0.512820512820513,0.697426937738246,0.463442000222223
federated,314,461,2,0.502227171492205,0.678629577587588,0.427065654638715,spl_3,0.492307692307692,0.712856765715291,0.447343519778339
federated,315,402,3,0.515185601799775,0.706404207565277,0.443583325549354,spl_1,0.456410256410256,0.712832784923721,0.441944049389492
federated,316,457,3,0.511811023622047,0.738861797793317,0.460693184584505,spl_2,0.456410256410256,0.64801238426264,0.432384643699516
federated,317,426,3,0.485523385300668,0.680387094140519,0.419201836687699,spl_3,0.405128205128205,0.674296319208166,0.386119902446369
spl_1,303,472,1,0.512935883014623,0.71276215191188,0.440878040502348,spl_2,0.446153846153846,0.603678958487196,0.386171957769714
spl_1,303,472,1,0.505567928730512,0.657003836388331,0.418376008130548,spl_3,,,
spl_2,304,367,1,0.518560179977503,0.68580389566339,0.412294562954074,spl_1,0.466666666666667,0.67342980035904,0.412960130588928
spl_2,304,367,1,0.49109131403118,0.647575316224108,0.413512686720199,spl_3,,,
spl_3,305,481,1,0.524184476940382,0.642577709448767,0.409221879429975,spl_1,0.471794871794872,0.560982772122161,0.398378693285896
spl_3,305,481,1,0.492688413948256,0.708724764997925,0.424140698683491,spl_2,,,
spl_1,318,275,2,0.482564679415073,0.693699456503521,0.419298850511365,spl_2,0.441025641025641,0.654747187346632,0.374639670683088
spl_1,318,275,2,0.481069042316258,0.636957333001617,0.385484837800953,spl_3,,,
spl_2,319,455,2,0.500562429696288,0.69238690588423,0.422182139223339,spl_1,0.446153846153846,0.700521453402543,0.401129630292455
spl_2,319,455,2,0.49554565701559,0.658461922565927,0.424428417467482,spl_3,,,
spl_3,320,341,2,0.511811023622047,0.67288559751618,0.415063156347074,spl_1,0.364102564102564,0.645315285373297,0.321941609939712
spl_3,320,341,2,0.510686164229471,0.739696547770179,0.446405325845709,spl_2,,,
spl_1,321,482,3,0.473565804274466,0.679836561069933,0.406893643492912,spl_2,0.420512820512821,0.640057533261417,0.372500198880173
spl_1,321,482,3,0.474387527839644,0.631688235110975,0.384339290002487,spl_3,,,
spl_2,322,303,3,0.512935883014623,0.668245866096197,0.42861300992546,spl_1,0.425641025641026,0.671889667550287,0.378541038329692
spl_2,322,303,3,0.498886414253898,0.657082029217242,0.432238670773654,spl_3,,,
spl_3,323,421,3,0.507311586051744,0.632996977440358,0.407006014464952,spl_1,0.456410256410256,0.622228764905049,0.400151086537225
spl_3,323,421,3,0.511811023622047,0.714179542397666,0.459259755295993,spl_2,,,
